Document Title,Authors,Publication Year,PDF Link,Implementation?,Abstract Summary
Learn to Scale: Generating Multipolar Normalized Density Maps for Crowd Counting,C. Xu; K. Qiu; J. Fu; S. Bai; Y. Xu; X. Bai,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9009068,NO,"Our work outperforms the state-of-the-art by 4.2%, 14.3%, 27.1% and 20.1% in MAE, on the ShanghaiTech Part A, ShanghaiTech Part B, UCF_CC_50 and UCF-QNRF datasets, respectively. First, a patch-level density map is extracted by a density estimation model and further grouped into several density levels which are determined over full datasets."
Multi-Agent Reinforcement Learning Based Frame Sampling for Effective Untrimmed Video Recognition,W. Wu; D. He; X. Tan; S. Chen; S. Wen,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9009461,NO,"Our MARL framework is composed of a novel RNN-based context-aware observation network which jointly models context information among nearby agents and historical states of a specific agent, a policy network which generates the probability distribution over a predefined action space at each step and a classification network for reward calculation as well as final recognition. We intuitively formulate the frame sampling procedure as multiple parallel Markov decision processes, each of which aims at picking out a frame/clip by gradually adjusting an initial sampling."
FullFusion: A Framework for Semantic Reconstruction of Dynamic Scenes,M. Bujanca; M. Lujan; B. Lennox,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022128,NO,"FullFusion is a step towards enabling robots to have a deeper and richer understanding of their surroundings, and can facilitate the study of interaction and scene dynamics. It is, however, important to highlight that the modular design of the framework allows us to easily replace any of the components with new or existing counterparts."
The Trajectron: Probabilistic Multi-Agent Trajectory Modeling With Dynamic Spatiotemporal Graphs,B. Ivanovic; M. Pavone,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9009454,NO,"We demonstrate the performance of our model on several datasets, obtaining state-of-the-art results on standard trajectory prediction metrics as well as introducing a new metric for comparing models that output distributions. Towards this end, we present the Trajectron, a graph-structured model that predicts many potential future trajectories of multiple agents simultaneously in both highly dynamic and multimodal scenarios (i.e."
Learning Spatial Awareness to Improve Crowd Counting,Z. -Q. Cheng; J. -X. Li; Q. Dai; X. Wu; A. Hauptmann,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010678,NO,"Existing methods widely employ the Euclidean distance (i.e., $L_2$ loss) to optimize the model, which, however, has two main drawbacks: (1) the loss has difficulty in learning the spatial awareness (i.e., the position of head) since it struggles to retain the high-frequency variation in the density map, and (2) the loss is highly sensitive to various noises in crowd counting, such as the zero-mean noise, head size changes, and occlusions. Although the Maximum Excess over SubArrays (MESA) loss has been previously proposed by~\cite{nips-10} to address the above issues by finding the rectangular subregion whose predicted density map has the maximum difference from the ground truth, it cannot be solved by gradient descent, thus can hardly be integrated into the deep learning framework."
Env-QA: A Video Question Answering Benchmark for Comprehensive Understanding of Dynamic Environments,D. Gao; R. Wang; Z. Bai; X. Chen,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9711383,NO,"To achieve complex tasks in volatile situations, the human can deeply understand the environment, quickly perceive events happening around, and continuously track objects’ state changes, which are still challenging for current AI systems. Moreover, we propose a video QA model, Temporal Segmentation and Event Attention network (TSEA), which introduces event-level video representation and corresponding attention mechanisms to better extract environment information and answer questions."
Multi-Level Bottom-Top and Top-Bottom Feature Fusion for Crowd Counting,V. Sindagi; V. Patel,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9009788,NO,"Specifically, we present a network that involves: (i) a multi-level bottom-top and top-bottom fusion (MBTTBF) method to combine information from shallower to deeper layers and vice versa at multiple levels, (ii) scale complementary feature extraction blocks (SCFB) involving cross-scale residual functions to explicitly enable flow of complementary features from adjacent conv layers along the fusion paths. Experiments conducted on three datasets that contain highly congested scenes (ShanghaiTech, UCF_CC_50, and UCF-QNRF) demonstrate that the proposed method is able to outperform several recent methods in all the datasets."
Relational Attention Network for Crowd Counting,A. Zhang; J. Shen; Z. Xiao; F. Zhu; X. Zhen; X. Cao; L. Shao,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010829,NO,"The RANet enhances the self-attention mechanism by accounting both short-range and long-range interdependence of pixels, where we respectively denote these implementations as local self-attention (LSA) and global self-attention (GSA). Density estimation is a popular strategy for crowd counting, where conventional density estimation methods perform pixel-wise regression without explicitly accounting the interdependence of pixels."
LPD-Net: 3D Point Cloud Learning for Large-Scale Place Recognition and Environment Analysis,Z. Liu; S. Zhou; C. Suo; P. Yin; W. Chen; H. Wang; H. Li; Y. Liu,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9009029,NO,"Two modules, the adaptive local feature extraction module and the graph-based neighborhood aggregation module, are proposed, which contribute to extract the local structures and reveal the spatial distribution of local features in the large-scale point cloud, with an end-to-end manner. Point cloud based place recognition is still an open issue due to the difficulty in extracting local features from the raw 3D point cloud and generating the global descriptor, and it's even harder in the large-scale dynamic environments."
Attentional Neural Fields for Crowd Counting,A. Zhang; L. Yue; J. Shen; F. Zhu; X. Zhen; X. Cao; L. Shao,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9009565,NO,"To better model pair-wise potentials in CRFs, we incorperate non-local attention mechanism implemented as inter- and intra-layer attentions to expand the receptive field to the entire image respectively within the same layer and across different layers, which captures long-range dependencies to conquer huge scale variations. The CRFs coupled with the attention mechanism are seamlessly integrated into the encoder-decoder network, establishing an ANF that can be optimized end-to-end by back propagation."
"LaLaLoc: Latent Layout Localisation in Dynamic, Unvisited Environments",H. Howard-Jenkins; J. -R. Ruiz-Sarmiento; V. A. Prisacariu,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9710879,NO,"We present LaLaLoc to localise in environments without the need for prior visitation, and in a manner that is robust to large changes in scene appearance, such as a full rearrangement of furniture. Thus, LaLaLoc enables fine-grained pose estimation in a scene without the need for prior visitation, as well as being robust to dynamics, such as a change in furniture configuration."
Conditional Vehicle Trajectories Prediction in CARLA Urban Environment,T. Buhet; E. Wirbel; X. Perrotton,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022290,NO,"Mid-to-mid (environment abstraction to mid-level trajectory representation) or direct perception (raw signal to performance) approaches strive to handle more complex, real life environment and tasks (e.g. We propose an original architecture inspired from social pooling LSTM taking low and mid level data as input and producing trajectories as polynomials of time."
Instance Segmentation in CARLA: Methodology and Analysis for Pedestrian-oriented Synthetic Data Generation in Crowded Scenes,M. Lyssenko; C. Gladisch; C. Heinzemann; M. Woehrle; R. Triebel,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9607548,NO,Our evaluation results show that per-pedestrian depth aggregation obtained from our instance segmentation is more precise than previously available approximations based on bounding boxes especially in the context of crowded scenes in urban automated driving. Recently proposed metrics for safety evaluation additionally require detailed per-instance annotations of dynamic properties such as distance and velocities that may not be available in openly accessible AD datasets.
MeteorNet: Deep Learning on Dynamic 3D Point Cloud Sequences,X. Liu; M. Yan; J. Bohg,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010250,NO,"Different from previous work that adopts a grid-based representation and applies 3D or 4D convolutions, our network directly processes point clouds. We benchmark our network on a variety of 3D recognition tasks including action recognition, semantic segmentation and scene flow estimation."
Spatial Uncertainty-Aware Semi-Supervised Crowd Counting,Y. Meng; H. Zhang; Y. Zhao; X. Yang; X. Qian; X. Huang; Y. Zheng,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9710789,YES,"Besides, we introduce a simple yet effective differential transformation layer to enforce the inherent spatial consistency regularization between the main task and the surrogate task in the student model, which helps the surrogate task to yield more reliable predictions and generates high-quality uncertainty maps. Different from existing semi-supervised learning-based crowd counting methods, to exploit the unlabeled data, our proposed spatial uncertainty-aware teacher-student framework focuses on high confident regions’ information while addressing the noisy supervision from the unlabeled data in an end-to-end manner."
Exploiting sample correlation for crowd counting with multi-expert network,X. Liu; G. Li; Z. Han; W. Zhang; Y. Yang; Q. Huang; N. Sebe,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9710485,NO,"Besides, to make better use of the proposed method, we design a simple network called FPN with Deconvolution Counting Network, which is a more suitable base model for the multi-expert counting network. Specifically, we propose a task-driven similarity metric based on sample’s mutual enhancement, referred as co-fine-tune similarity, which can find a more efficient subset of data for training the expert network."
Graph CNN for Moving Object Detection in Complex Environments from Unseen Videos,J. H. Giraldo; S. Javed; N. Werghi; T. Bouwmans,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9607835,NO,"Moreover, some MOD deep learning methods show performance degradation in the presence of unseen video sequences because the testing and training splits of the same sequences are involved during the network learning process. MOD becomes very challenging when a video sequence captured from a static or moving camera suffers from the challenges: camouflage, shadow, dynamic backgrounds, and lighting variations, to name a few."
Rethinking Counting and Localization in Crowds: A Purely Point-Based Framework,Q. Song; C. Wang; Z. Jiang; Y. Wang; Y. Tai; C. Wang; J. Li; F. Huang; Y. Wu,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9710076,NO,"For this framework, instead of merely reporting the absolute counting error at image level, we propose a new metric, called density Normalized Average Precision (nAP), to provide more comprehensive and more precise performance evaluation. P2PNet discards superfluous steps and directly predicts a set of point proposals to represent heads in an image, being consistent with the human annotation results."
Crowd Counting With Partial Annotations in an Image,Y. Xu; Z. Zhong; D. Lian; J. Li; Z. Li; X. Xu; S. Gao,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9711085,YES,"Inspired by the repetitive patterns in the annotated and unannotated regions as well as the ones between them, we design a network with three components to tackle those unannotated regions: i) in an Unannotated Regions Characterization (URC) module, we employ a memory bank to only store the annotated features, which could help the visual features extracted from these annotated regions flow to these unannotated regions; ii) For each image, Feature Distribution Consistency (FDC) regularizes the feature distributions of annotated head and unannotated head regions to be consistent; iii) a Cross-regressor Consistency Regularization (CCR) module is designed to learn the visual features of unannotated regions in a self-supervised style. With only 10% annotated regions in each image, our proposed model achieves better performance than the recent methods and baselines under semi-supervised or active learning settings on all datasets."
Towards A Universal Model for Cross-Dataset Crowd Counting,Z. Ma; X. Hong; X. Wei; Y. Qiu; Y. Gong,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9710112,NO,"We dissect that the crux of this problem is the catastrophic sensitivity of crowd counters to scale shift, which is very common in the real world and caused by factors such as different scene layouts and image resolutions. Benefiting from the proposed method, we have learned a universal model that generally works well on several datasets where can even outperform state-of-the-art models that are particularly fine-tuned for each dataset significantly."
STGAT: Modeling Spatial-Temporal Interactions for Human Trajectory Prediction,Y. Huang; H. Bi; Z. Li; T. Mao; Z. Wang,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010834,NO,"Because of the continuity and foresight of the pedestrian movements, the moving pedestrians in crowded spaces will consider both spatial and temporal interactions to avoid future collisions. Through comparisons with state-of-the-art methods, our model achieves superior performance on two publicly available crowd datasets (ETH and UCY) and produces more ""socially"" plausible trajectories for pedestrians."
AgentFormer: Agent-Aware Transformers for Socio-Temporal Multi-Agent Forecasting,Y. Yuan; X. Weng; Y. Ou; K. Kitani,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9710708,NO,"Since standard attention operations disregard the agent identity of each element in the sequence, AgentFormer uses a novel agent-aware attention mechanism that preserves agent identities by attending to elements of the same agent differently than elements of other agents. Forecasting multi-agent trajectories requires modeling two key dimensions: (1) time dimension, where we model the influence of past agent states over future states; (2) social dimension, where we model how the state of each agent affects others."
Adversarial Attacks On Multi-Agent Communication,J. Tu; T. Wang; J. Wang; S. Manivasagam; M. Ren; R. Urtasun,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9711249,NO,"Furthermore, we show that black-box transfer attacks are more difficult in this setting when compared to directly perturbing the inputs, as it is necessary to align the distribution of learned representations with domain adaptation. Thus, we aim to study the robustness of such systems and focus on exploring adversarial at-tacks in a novel multi-agent setting where communication is done through sharing learned intermediate representations of neural networks."
Variational Attention: Propagating Domain-Specific Knowledge for Multi-Domain Learning in Crowd Counting,B. Chen; Z. Yan; K. Li; P. Li; B. Wang; W. Zuo; L. Zhang,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9710532,NO,"In this paper, we resort to the multi-domain joint learning and propose a simple but effective Domain-specific Knowledge Propagating Network (DKPNet) for unbiasedly learning the knowledge from multiple diverse data domains at the same time. In crowd counting, due to the problem of laborious labelling, it is perceived intractability of collecting a new large-scale dataset which has plentiful images with large diversity in density, scene, etc."
Uniformity in Heterogeneity: Diving Deep into Count Interval Partition for Crowd Counting,C. Wang; Q. Song; B. Zhang; Y. Wang; Y. Tai; X. Hu; C. Wang; J. Li; J. Ma; Y. Wu,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9710074,NO,"Therefore, we propose a novel count interval partition criterion called Uniform Error Partition (UEP), which always keeps the expected counting error contributions equal for all intervals to minimize the prediction risk. The MCP criterion selects the best count proxy for each interval to represent its count value during inference, making the overall expected discretization error of an image nearly negligible."
Dynamic Context-Sensitive Filtering Network for Video Salient Object Detection,M. Zhang; J. Liu; Y. Wang; Y. Piao; S. Yao; W. Ji; J. Li; H. Lu; Z. Luo,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9710498,YES,"In this work, we aim to answer the following questions: How can a model adjust itself to dynamic variations as well as perceive fine differences in the real-world environment; How are the temporal dynamics well introduced into spatial information over time? To this end, we propose a dynamic context-sensitive filtering network (DCFNet) equipped with a dynamic context-sensitive filtering module (DCFM) and an effective bidirectional dynamic fusion strategy."
Online Multi-Task Clustering for Human Motion Segmentation,G. Sun; Y. Cong; L. Wang; Z. Ding; Y. Fu,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022059,NO,"However, most existing state-of-the-arts address this problem upon an offline and single-agent scenario, while there are a lot of urgent requirements to segment videos captured from multiple agents for real-time application (e.g., surveillance system). Specifically, a linear autoencoder framework is designed to project motion sequences into a common motion-aware space across multiple collaborating tasks, while the decoder obtains motion-aware representation of each task via a temporal preserved regularizer."
ClusterSLAM: A SLAM Backend for Simultaneous Rigid Body Clustering and Motion Estimation,J. Huang; S. Yang; Z. Zhao; Y. -K. Lai; S. Hu,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9008108,NO,"Evaluations on both synthetic scenes and KITTI demonstrate the capability of our approach, and further experiments considering online efficiency also show the effectiveness of our method for simultaneous tracking of ego-motion and multiple objects. In this paper, we exploit the consensus of 3D motions among the landmarks extracted from the same rigid body for clustering and estimating static and dynamic objects in a unified manner."
Neighbourhood Context Embeddings in Deep Inverse Reinforcement Learning for Predicting Pedestrian Motion Over Long Time Horizons,T. Fernando; S. Denman; S. Sridharan; C. Fookes,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022234,NO,"Predicting crowd behaviour in the distant future has increased in prominence among the computer vision community as it provides intelligence and flexibility for autonomous systems, enabling the early detection of abnormal events and better and more natural interactions between humans and autonomous systems such as driverless vehicles and field robots. Despite the fact that Deep Inverse Reinforcement Learning (D-IRL) based modelling paradigms offer flexibility and robustness when anticipating human behaviour across long time horizons, compared to their supervised learning counterparts, no existing state-of-the-art D-IRL methods consider path planning in situations where there are multiple moving pedestrians in the environment."
Learning an Event Sequence Embedding for Dense Event-Based Deep Stereo,S. Tulyakov; F. Fleuret; M. Kiefel; P. Gehler; M. Hirsch,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9008838,NO,"The module builds a representation of an event sequence by firstly aggregating information locally across time, using a novel fully-connected layer for an irregularly sampled continuous domain, and then across discrete spatial domain. However, these cameras, originally developed for acquisition of static images rather than for sensing of dynamic uncontrolled visual environments, suffer from high power consumption, data rate, latency and low dynamic range."
A Dataset of Multi-Illumination Images in the Wild,L. Murmann; M. Gharbi; M. Aittala; F. Durand,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9008252,NO,"Multi-illumination datasets are notoriously hard to capture, so the data is typically collected at small scale, in controlled environments, either using multiple light sources, or robotic gantries. We introduce a new multi-illumination dataset of more than 1000 real scenes, each captured in high dynamic range and high resolution, under 25 lighting conditions."
FuseMODNet: Real-Time Camera and LiDAR Based Moving Object Detection for Robust Low-Light Autonomous Driving,H. Rashed; M. Ramzy; V. Vaquero; A. El Sallab; G. Sistu; S. Yogamani,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022585,NO,"As dynamic objects represent higher collision risk than static ones, our own ego-trajectories have to be planned attending to the future states of the moving elements of the scene. In this work we propose a robust and real-time CNN architecture for Moving Object Detection (MOD) under low-light conditions by capturing motion information from both camera and LiDAR sensors."
Real-Time Aerial Suspicious Analysis (ASANA) System for the Identification and Re-Identification of Suspicious Individuals using the Bayesian ScatterNet Hybrid (BSH) Network,A. Singh; K. Kiran G.V.; O. Harsh; R. Kumar; K. Singh Rajput; C. S .S. Vamsi,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022217,NO,"Video monitoring and safety systems have been used to keep track of hostiles, conduct border control operations as well as to monitor the suspicious entities in public spaces. This paper introduces the Aerial Suspicious Analysis (ASANA) System for the Identification and Re-Identification of suspicious Individuals in large public areas using the Bayesian ScatterNet Hybrid (BSH) Network."
